epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,728.573,0.91497,3.81768,1.58685,0.0077,1,0.18392,0.13698,0.80956,3.78207,1.39887,0.000297684,0.000297684,0.000297684
2,1430.22,0.76799,2.88278,1.42621,0.45067,0.44649,0.36279,0.26458,0.89046,3.20573,1.50841,0.000541216,0.000541216,0.000541216
3,2091.83,0.71421,2.44469,1.37848,0.5399,0.55057,0.48518,0.35756,0.92331,3.0799,1.50165,0.000724755,0.000724755,0.000724755
4,2750.73,0.74346,2.20538,1.37437,0.70042,0.57435,0.58507,0.46223,0.78007,2.25152,1.37409,0.000639027,0.000639027,0.000639027
5,3434.46,0.65088,1.92522,1.28717,0.69529,0.5658,0.65316,0.51936,0.78319,1.98988,1.37575,0.000549036,0.000549036,0.000549036
6,4089.7,0.63013,1.67164,1.27099,0.76877,0.59444,0.70122,0.5839,0.68744,1.72355,1.23414,0.000459045,0.000459045,0.000459045
7,4744.26,0.58781,1.52771,1.2449,0.8545,0.63362,0.75403,0.63917,0.66002,1.56031,1.22627,0.000369054,0.000369054,0.000369054
8,5399,0.53269,1.36797,1.17454,0.72736,0.71931,0.79069,0.67606,0.58987,1.41448,1.13757,0.000279063,0.000279063,0.000279063
9,6053.03,0.49894,1.23689,1.14423,0.77342,0.76169,0.82637,0.71824,0.54975,1.30577,1.09032,0.000189072,0.000189072,0.000189072
10,6707.08,0.49565,1.16668,1.14641,0.77611,0.86212,0.86707,0.75698,0.53115,1.17089,1.08861,9.9081e-05,9.9081e-05,9.9081e-05
